Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;54;0,9990;959;4;1;0;0;0;0;0
1,0000;960;1;3;0;48;0,4990;479;2;0;0;1;0;0;0
1,5000;1440;1;4;0;59;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;2;1;0;55;0,7490;719;3;1;1;0;0;0;0
2,7500;2640;2;2;240;56;0,2490;239;1;0;0;1;1;0;0
3,0000;2880;2;3;0;46;0,9990;959;4;1;0;0;0;0;0
4,0000;3840;3;1;0;46;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;3;2;0;49;0,4990;479;2;0;0;0;0;0;0
5,0000;4800;3;3;0;51;0,4990;479;2;0;0;1;0;0;0
5,5000;5280;3;4;0;62;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;4;1;0;52;0,9990;959;4;1;1;1;1;1;0
7,5000;7200;4;4;0;57;0,4990;479;2;0;0;0;0;0;0
8,0000;7680;5;1;0;57;0,4990;479;2;0;0;1;0;0;0
8,5000;8160;5;2;0;53;0,4990;479;2;1;0;0;0;0;0
9,0000;8640;5;3;0;59;0,4990;479;2;0;0;0;0;0;0
9,5000;9120;5;4;0;55;0,4990;479;2;0;0;0;0;0;0
10,0000;9600;6;1;0;60;0,9990;959;4;0;0;1;0;0;0
11,0000;10560;6;3;0;50;0,9990;959;4;0;0;0;0;0;0
12,0000;11520;7;1;0;63;1,4990;1439;6;1;1;1;0;0;0
13,5000;12960;7;4;0;51;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;8;1;0;54;0,9990;959;4;0;0;0;0;0;0
15,0000;14400;8;3;0;44;0,9990;959;4;0;0;0;0;0;0
16,0000;15360;9;1;0;55;1,4990;1439;6;0;0;1;1;1;0
18,0000;17280;10;1;0;54;1,9990;1919;8;1;1;0;0;0;1
20,0000;19200;11;1;0;48;0,9990;959;4;0;0;0;0;0;0
21,0000;20160;11;3;0;59;0,9990;959;4;1;0;0;0;0;0
22,0000;21120;12;1;0;55;1,9990;1919;8;0;0;1;0;0;1
24,0000;23040;13;1;0;56;1,9990;1919;8;0;0;0;0;0;0
26,0000;24960;14;1;0;46;2,9990;2879;12;1;1;1;1;1;1
