Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;69;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;1;0;69;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;1;1;240;69;0,2490;239;2;0;0;1;0;0;0
1,5000;1440;1;2;0;74;0,2490;239;2;1;1;0;0;0;0
1,7500;1680;1;2;240;72;0,1240;119;1;0;0;0;0;0;0
1,8750;1800;1;2;360;71;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;2;1;0;72;0,2490;239;2;1;0;1;1;0;0
2,2500;2160;2;1;240;67;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;2;2;0;67;0,2490;239;2;1;0;1;0;1;0
2,7500;2640;2;2;240;71;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;3;1;0;72;0,2490;239;2;1;1;1;1;0;0
3,2500;3120;3;1;240;67;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;67;0,2490;239;2;1;1;1;0;0;0
3,7500;3600;3;2;240;71;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;72;0,2490;239;2;1;1;1;1;0;0
4,2500;4080;4;1;240;67;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;4;2;0;67;0,2490;239;2;1;0;1;0;1;0
4,7500;4560;4;2;240;69;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;5;1;0;70;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;70;0,2490;239;2;0;1;0;0;0;0
5,5000;5280;5;2;0;70;0,1240;119;1;0;1;1;1;0;0
5,6250;5400;5;2;120;74;0,1240;119;1;0;0;0;0;0;0
5,7500;5520;5;2;240;72;0,1240;119;1;0;0;1;0;0;0
5,8750;5640;5;2;360;70;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;6;1;0;70;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;6;1;240;69;0,2490;239;2;0;1;1;0;0;0
6,5000;6240;6;2;0;79;0,4990;479;4;0;0;0;0;1;0
7,0000;6720;7;1;0;69;0,4990;479;4;0;0;1;0;0;0
7,5000;7200;7;2;0;77;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;8;1;0;77;0,7490;719;6;1;1;1;1;0;0
8,7500;8400;8;2;240;71;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;9;1;0;74;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;9;1;240;72;0,2490;239;2;1;0;1;0;1;0
9,7500;9360;9;2;240;72;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;10;1;0;67;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;10;1;240;69;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;10;2;0;70;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;10;2;240;74;0,2490;239;2;0;0;1;0;0;0
11,0000;10560;11;1;0;67;0,3740;359;3;1;1;0;0;0;0
11,3750;10920;11;1;360;69;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;11;2;0;70;0,4990;479;4;1;0;1;0;1;0
12,0000;11520;12;1;0;69;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;12;1;120;69;0,1240;119;1;0;0;1;0;0;0
12,2500;11760;12;1;240;70;0,1240;119;1;0;0;0;0;0;0
12,3750;11880;12;1;360;72;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;12;2;0;74;0,2490;239;2;0;0;1;0;0;0
12,7500;12240;12;2;240;76;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;13;1;0;77;0,3740;359;3;1;1;1;0;0;0
13,3750;12840;13;1;360;74;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;13;2;0;72;0,4990;479;4;1;1;1;1;1;0
14,2500;13680;14;1;240;67;0,1240;119;1;0;0;0;0;0;0
14,3750;13800;14;1;360;67;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;14;2;0;74;0,1240;119;1;0;0;0;1;0;0
14,6250;14040;14;2;120;67;0,1240;119;1;0;0;0;0;0;0
14,7500;14160;14;2;240;67;0,1240;119;1;0;0;1;0;0;0
14,8750;14280;14;2;360;69;0,1240;119;1;1;1;0;0;0;0
15,0000;14400;15;1;0;67;0,2490;239;2;0;0;1;0;0;0
15,2500;14640;15;1;240;65;0,2490;239;2;1;1;1;1;1;1
