Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,3740;359;3;1;0;1;1;0;0
0,8750;840;1;2;360;64;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;3;0;67;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;1;3;240;69;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;4;0;67;0,3740;359;3;1;1;1;0;1;0
1,8750;1800;1;4;360;64;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;2;1;0;67;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;2;1;240;69;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;2;2;0;71;0,3740;359;3;1;1;0;0;0;0
2,8750;2760;2;2;360;72;0,1240;119;1;0;0;1;0;0;0
3,0000;2880;2;3;0;67;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;2;3;240;64;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;4;0;60;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;2;4;240;62;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;3;1;0;63;0,4990;479;4;1;1;0;0;1;0
4,5000;4320;3;2;0;63;0,2490;239;2;0;0;0;1;0;0
4,7500;4560;3;2;240;71;0,2490;239;2;0;0;0;1;0;0
5,0000;4800;3;3;0;63;0,4990;479;4;1;1;0;0;0;0
5,5000;5280;3;4;0;63;0,2490;239;2;0;0;1;1;0;0
5,7500;5520;3;4;240;71;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;4;1;0;63;0,4990;479;4;1;0;1;0;0;0
6,5000;6240;4;2;0;58;0,4990;479;4;0;0;0;0;0;0
7,0000;6720;4;3;0;58;0,7490;719;6;1;1;1;1;1;0
7,7500;7440;4;4;240;57;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;5;1;0;58;0,4990;479;4;1;1;1;0;0;0
8,5000;8160;5;2;0;63;0,3740;359;3;0;0;0;0;0;0
8,8750;8520;5;2;360;67;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;5;3;0;70;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;5;3;240;72;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;5;4;0;70;0,3740;359;3;1;1;1;0;0;0
9,8750;9480;5;4;360;67;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;6;1;0;70;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;6;1;240;72;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;6;2;0;74;0,3740;359;3;1;1;0;0;1;0
10,8750;10440;6;2;360;75;0,1240;119;1;0;0;1;0;0;0
11,0000;10560;6;3;0;70;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;6;3;240;67;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;6;4;0;63;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;6;4;240;65;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;7;1;0;66;0,4990;479;4;1;1;0;0;0;0
12,5000;12000;7;2;0;66;0,2490;239;2;0;0;0;1;0;0
12,7500;12240;7;2;240;74;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;7;3;0;66;0,4990;479;4;1;1;0;0;0;0
13,5000;12960;7;4;0;66;0,2490;239;2;0;0;1;1;0;0
13,7500;13200;7;4;240;74;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;8;1;0;67;0,4990;479;4;1;1;1;1;1;1
