Signature: 6/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;66;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;67;0,2490;239;2;1;1;1;1;0;0
0,5000;480;1;2;0;69;0,2490;239;2;0;0;0;0;0;0
0,7500;720;1;2;240;69;0,2490;239;2;1;0;1;0;0;0
1,0000;960;1;3;0;67;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;1;3;240;66;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;4;0;67;0,4990;479;4;1;1;1;1;0;0
2,0000;1920;1;5;0;71;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;1;5;240;64;0,4990;479;4;1;0;0;0;1;0
2,7500;2640;1;6;240;67;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;2;1;0;61;0,4990;479;4;1;1;1;0;0;0
3,5000;3360;2;2;0;64;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;2;2;240;57;0,2490;239;2;0;0;1;1;0;0
4,0000;3840;2;3;0;69;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;2;3;240;67;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;2;4;0;66;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;2;4;240;64;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;2;5;0;62;0,2490;239;2;1;0;1;0;1;0
5,5000;5280;2;6;0;64;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;2;6;240;67;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;3;1;0;66;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;3;1;240;64;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;3;2;0;62;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;3;2;240;64;0,2490;239;2;1;0;1;0;0;0
7,0000;6720;3;3;0;66;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;3;3;240;67;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;3;4;0;66;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;3;4;240;64;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;3;5;0;62;0,2490;239;2;1;1;1;1;1;0
