Signature: 5/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;70;0,2490;239;1;0;0;0;0;0;0
0,2500;240;1;1;240;67;0,4990;479;2;1;1;1;1;0;0
0,7500;720;1;2;240;70;0,2490;239;1;0;0;0;0;0;0
1,0000;960;1;3;0;72;0,4990;479;2;0;0;0;0;0;0
1,5000;1440;1;4;0;70;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;1;5;0;67;0,4990;479;2;1;0;1;0;0;0
2,5000;2400;2;1;0;63;0,2490;239;1;0;0;0;0;0;0
2,7500;2640;2;1;240;60;0,4990;479;2;1;1;1;0;0;0
3,2500;3120;2;2;240;63;0,2490;239;1;0;0;0;0;0;0
3,5000;3360;2;3;0;67;0,4990;479;2;0;0;0;0;0;0
4,0000;3840;2;4;0;65;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;2;5;0;58;0,4990;479;2;1;0;1;1;1;0
5,0000;4800;3;1;0;70;0,2490;239;1;0;0;0;0;0;0
5,2500;5040;3;1;240;67;0,4990;479;2;1;1;1;0;0;0
5,7500;5520;3;2;240;70;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;3;3;0;72;0,4990;479;2;0;0;0;0;0;0
6,5000;6240;3;4;0;70;0,4990;479;2;0;0;0;0;0;0
7,0000;6720;3;5;0;67;0,4990;479;2;1;0;1;0;0;0
7,5000;7200;4;1;0;63;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;4;1;240;60;0,4990;479;2;1;0;1;0;0;0
8,2500;7920;4;2;240;63;0,2490;239;1;0;0;0;0;0;0
8,5000;8160;4;3;0;67;0,4990;479;2;0;0;0;0;0;0
9,0000;8640;4;4;0;65;0,9990;959;4;1;1;1;1;1;0
10,0000;9600;5;1;0;70;0,2490;239;1;0;0;0;0;0;0
10,2500;9840;5;1;240;72;0,4990;479;2;1;0;1;0;0;0
10,7500;10320;5;2;240;70;0,2490;239;1;0;0;0;0;0;0
11,0000;10560;5;3;0;73;0,4990;479;2;0;0;0;0;0;0
11,5000;11040;5;4;0;72;0,4990;479;2;0;0;0;0;0;0
12,0000;11520;5;5;0;70;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;6;1;0;68;0,2490;239;1;0;0;0;0;0;0
12,7500;12240;6;1;240;70;0,4990;479;2;1;1;1;1;0;0
13,2500;12720;6;2;240;68;0,2490;239;1;0;0;0;0;0;0
13,5000;12960;6;3;0;71;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;6;4;0;70;0,4990;479;2;0;0;0;0;0;0
14,5000;13920;6;5;0;68;0,4990;479;2;1;0;1;0;1;0
15,0000;14400;7;1;0;67;0,2490;239;1;0;0;0;0;0;0
15,2500;14640;7;1;240;68;0,4990;479;2;1;1;1;0;0;0
15,7500;15120;7;2;240;69;0,2490;239;1;0;0;0;0;0;0
16,0000;15360;7;3;0;70;0,4990;479;2;0;0;1;1;0;0
16,5000;15840;7;4;0;67;0,4990;479;2;0;0;0;0;0;0
17,0000;16320;7;5;0;63;0,4990;479;2;0;0;0;0;0;0
17,5000;16800;8;1;0;60;0,2490;239;1;0;0;0;0;0;0
17,7500;17040;8;1;240;63;0,4990;479;2;1;1;1;1;0;0
18,2500;17520;8;2;240;67;0,2490;239;1;0;0;0;0;0;0
18,5000;17760;8;3;0;65;0,4990;479;2;0;0;0;0;0;0
19,0000;18240;8;4;0;63;0,9990;959;4;1;1;1;1;1;1
