Signature: 5/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;50;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;51;0,2490;239;2;0;1;0;1;0;0
0,5000;480;1;2;0;53;0,2490;239;2;0;0;0;0;0;0
0,7500;720;1;2;240;55;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;3;0;56;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;1;3;240;58;0,4990;479;4;1;1;1;1;0;0
1,7500;1680;1;4;240;53;0,4990;479;4;0;0;0;0;0;0
2,2500;2160;1;5;240;55;0,4990;479;4;0;0;1;0;0;0
2,7500;2640;2;1;240;58;0,4990;479;4;1;0;0;0;0;0
3,2500;3120;2;2;240;57;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;3;0;55;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;2;3;240;51;0,7490;719;6;1;1;1;1;1;0
4,5000;4320;2;5;0;53;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;2;5;240;55;0,2490;239;2;1;0;1;0;0;0
5,0000;4800;3;1;0;58;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;3;1;240;57;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;3;2;0;55;0,2490;239;2;1;1;1;1;0;0
5,7500;5520;3;2;240;51;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;3;3;0;53;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;3;3;240;55;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;3;4;0;57;0,2490;239;2;0;1;0;1;0;0
6,7500;6480;3;4;240;58;0,2490;239;2;0;0;0;0;1;0
7,0000;6720;3;5;0;60;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;3;5;240;62;0,2490;239;2;1;1;1;1;0;0
7,5000;7200;4;1;0;60;0,1240;119;1;0;0;0;0;0;0
7,6250;7320;4;1;120;60;0,1240;119;1;1;1;1;0;0;0
7,7500;7440;4;1;240;59;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;4;2;0;57;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;4;2;240;55;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;4;3;0;53;0,2490;239;2;0;1;0;1;0;0
8,7500;8400;4;3;240;52;0,2490;239;2;0;1;0;1;0;0
9,0000;8640;4;4;0;50;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;4;4;240;48;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;4;5;0;46;0,2490;239;2;1;1;1;1;1;1
