Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;72;0,4740;455;2;1;0;1;0;0;0
0,5000;480;1;2;0;78;0,2365;227;1;0;0;0;0;0;0
0,7500;720;1;2;240;81;0,2365;227;1;0;0;1;0;0;0
1,0000;960;1;3;0;67;0,2365;227;1;0;0;0;0;0;0
1,2500;1200;1;3;240;76;0,4740;455;2;0;0;0;0;0;0
1,7500;1680;1;4;240;74;0,7115;683;3;1;1;1;0;0;0
2,5000;2400;2;2;0;69;0,2365;227;1;0;0;0;0;0;0
2,7500;2640;2;2;240;69;0,4740;455;2;0;0;0;0;0;0
3,2500;3120;2;3;240;57;0,9490;911;4;1;0;1;1;1;1
4,2500;4080;3;1;240;69;0,2365;227;1;0;0;0;0;0;0
4,5000;4320;3;2;0;76;0,2365;227;1;0;0;0;0;0;0
4,7500;4560;3;2;240;67;0,2365;227;1;0;0;1;0;0;0
5,0000;4800;3;3;0;74;0,2365;227;1;0;0;0;0;0;0
5,2500;5040;3;3;240;76;0,2365;227;1;0;0;0;0;0;0
5,5000;5280;3;4;0;77;0,2365;227;1;0;0;0;0;0;0
5,7500;5520;3;4;240;69;0,4740;455;2;1;1;1;1;0;0
6,2500;6000;4;1;240;81;0,2365;227;1;0;0;0;0;0;0
6,5000;6240;4;2;0;83;0,2365;227;1;0;0;1;0;0;0
6,7500;6480;4;2;240;74;0,2365;227;1;0;0;0;0;0;0
7,0000;6720;4;3;0;74;0,7115;683;3;1;0;1;1;1;0
7,7500;7440;4;4;240;67;0,2365;227;1;0;0;0;0;0;0
8,0000;7680;5;1;0;79;0,4740;455;2;0;0;1;0;0;0
8,5000;8160;5;2;0;71;0,4740;455;2;1;0;0;0;0;0
9,0000;8640;5;3;0;72;0,2365;227;1;0;0;0;0;0;0
9,2500;8880;5;3;240;69;0,2365;227;1;0;0;0;0;0;0
9,5000;9120;5;4;0;71;0,2365;227;1;0;0;0;0;0;0
9,7500;9360;5;4;240;69;0,2365;227;1;1;0;1;0;0;0
10,0000;9600;6;1;0;65;0,2365;227;1;0;0;0;0;0;0
10,2500;9840;6;1;240;64;0,2365;227;1;1;1;1;0;1;0
10,5000;10080;6;2;0;72;0,2365;227;1;0;0;0;0;0;0
10,7500;10320;6;2;240;79;0,2365;227;1;1;0;1;1;0;0
11,0000;10560;6;3;0;67;0,2365;227;1;0;0;0;0;0;0
11,2500;10800;6;3;240;71;0,2365;227;1;0;0;1;0;0;0
11,5000;11040;6;4;0;76;0,2365;227;1;0;1;0;0;0;0
11,7500;11280;6;4;240;76;0,4740;455;2;0;0;0;0;0;0
12,2500;11760;7;1;240;76;0,4740;455;2;0;0;0;0;0;0
12,7500;12240;7;2;240;69;0,2365;227;1;1;0;1;1;0;0
13,2500;12720;7;3;240;71;0,2365;227;1;0;0;0;0;0;0
13,5000;12960;7;4;0;69;0,7115;683;3;1;1;1;0;1;0
14,2500;13680;8;1;240;72;0,4740;455;2;0;0;0;0;0;0
14,7500;14160;8;2;240;76;0,2365;227;1;0;0;0;0;0;0
15,0000;14400;8;3;0;72;0,2365;227;1;0;0;1;1;0;0
15,5000;14880;8;4;0;69;0,4740;455;2;0;1;0;0;0;0
16,0000;15360;9;1;0;67;0,2365;227;1;0;0;0;0;0;0
16,2500;15600;9;1;240;72;0,2365;227;1;1;1;1;1;1;1
