Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;2;1;0;53;0,4990;479;4;1;0;1;0;0;0
1,5000;1440;2;2;0;60;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;3;1;0;60;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;3;2;0;60;0,3740;359;3;1;0;1;0;0;0
2,8750;2760;3;2;360;57;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;57;0,7490;719;6;1;1;1;1;0;0
3,7500;3600;4;2;240;53;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;5;1;0;57;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;5;2;0;57;0,2490;239;2;0;0;1;0;1;0
5,0000;4800;6;1;0;60;0,4990;479;4;0;0;0;0;0;0
5,5000;5280;6;2;0;57;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;7;1;0;57;0,4990;479;4;0;0;0;0;0;0
6,5000;6240;7;2;0;55;0,4990;479;4;0;0;0;0;0;0
7,0000;6720;8;1;0;53;0,9990;959;8;1;0;1;0;1;0
8,0000;7680;9;1;0;53;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;9;2;0;53;0,4990;479;4;1;0;1;0;0;0
9,0000;8640;10;1;0;55;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;53;0,2490;239;2;1;0;1;1;0;0
9,5000;9120;10;2;0;57;0,4990;479;4;0;0;0;0;0;0
10,0000;9600;11;1;0;57;0,4990;479;4;0;0;1;0;0;0
10,5000;10080;11;2;0;55;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;12;1;0;53;0,7490;719;6;1;0;1;0;0;0
11,7500;11280;12;2;240;50;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;13;1;0;53;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;13;2;0;53;0,4990;479;4;1;1;1;1;1;0
13,5000;12960;14;2;0;50;0,3740;359;3;0;0;0;0;0;0
13,8750;13320;14;2;360;50;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;15;1;0;53;0,9990;959;8;0;1;1;0;0;0
15,0000;14400;16;1;0;53;0,7490;719;6;0;0;0;0;0;0
15,7500;15120;16;2;240;50;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;17;1;0;53;0,4990;479;4;0;0;0;0;0;0
16,5000;15840;17;2;0;53;0,4990;479;4;1;0;1;0;0;0
17,0000;16320;18;1;0;55;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;18;1;240;53;0,2490;239;2;1;0;1;0;0;0
17,5000;16800;18;2;0;57;0,4990;479;4;0;0;0;0;0;0
18,0000;17280;19;1;0;57;0,4990;479;4;0;0;0;0;0;0
18,5000;17760;19;2;0;55;0,4990;479;4;0;0;0;0;0;0
19,0000;18240;20;1;0;53;0,9990;959;8;1;1;1;1;1;0
20,5000;19680;21;2;0;53;0,4990;479;4;0;0;0;0;0;0
21,0000;20160;22;1;0;60;0,4990;479;4;0;0;0;0;0;0
21,5000;20640;22;2;0;60;0,4990;479;4;0;0;0;0;0;0
22,0000;21120;23;1;0;60;0,3740;359;3;1;0;1;0;0;0
22,3750;21480;23;1;360;57;0,1240;119;1;0;0;0;0;0;0
22,5000;21600;23;2;0;57;0,7490;719;6;1;1;1;1;0;0
23,2500;22320;24;1;240;53;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;24;2;0;57;0,4990;479;4;0;0;0;0;0;0
24,0000;23040;25;1;0;57;0,2490;239;2;0;0;1;0;0;0
