Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;59;0,2490;239;2;0;0;0;0;0;0
0,7500;720;0;2;240;59;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;1;0;59;0,7490;719;6;1;1;0;0;1;0
1,7500;1680;1;2;240;59;0,2490;239;2;0;0;1;1;0;0
2,0000;1920;2;1;0;57;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;2;2;0;57;0,4990;479;4;0;0;1;0;0;0
3,0000;2880;3;1;0;55;0,7490;719;6;1;1;0;0;0;0
3,7500;3600;3;2;240;55;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;55;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;4;2;0;55;0,4990;479;4;1;0;1;0;0;0
5,0000;4800;5;1;0;52;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;50;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;5;2;0;50;0,2490;239;2;0;0;1;1;1;0
6,0000;5760;6;1;0;52;0,4990;479;4;0;1;0;0;0;0
6,5000;6240;6;2;0;55;0,2490;239;2;0;0;1;0;0;0
6,7500;6480;6;2;240;59;0,1240;119;1;0;0;0;0;0;0
6,8750;6600;6;2;360;59;0,1240;119;1;0;0;1;0;0;0
7,0000;6720;7;1;0;57;0,3740;359;3;1;0;0;0;0;0
7,3750;7080;7;1;360;55;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;7;2;0;52;0,3740;359;3;1;1;1;0;0;0
7,8750;7560;7;2;360;57;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;8;1;0;55;1,4990;1439;12;0;0;0;0;1;1
9,5000;9120;9;2;0;52;0,1240;119;1;1;0;1;1;0;0
9,7500;9360;9;2;240;55;0,1240;119;1;0;0;0;0;0;0
9,8750;9480;9;2;360;55;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;10;1;0;55;0,7490;719;6;1;1;0;0;0;0
10,7500;10320;10;2;240;55;0,2490;239;2;0;0;1;0;0;0
11,0000;10560;11;1;0;52;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;11;1;240;50;0,4990;479;4;1;1;1;1;1;1
