Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;58;0,2490;239;6;0;0;0;0;0;0
0,7500;720;0;2;240;58;0,2490;239;6;1;0;1;1;0;0
1,0000;960;1;1;0;63;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;1;1;240;65;0,2490;239;6;0;0;0;0;0;0
1,5000;1440;1;2;0;63;0,2490;239;6;1;1;0;0;0;0
1,7500;1680;1;2;240;63;0,1240;119;3;0;0;1;0;0;0
1,8750;1800;1;2;360;60;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;1;0;63;0,2490;239;6;1;0;1;0;0;0
2,2500;2160;2;1;240;60;0,2490;239;6;0;0;0;0;0;0
2,5000;2400;2;2;0;58;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;2;2;240;58;0,2490;239;6;0;0;1;0;0;0
3,0000;2880;3;1;0;63;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;3;1;120;60;0,3740;359;9;1;1;1;1;1;0
3,5000;3360;3;2;0;60;0,1240;119;3;0;0;0;0;0;0
3,6250;3480;3;2;120;58;0,3740;359;9;1;1;1;0;0;0
4,0000;3840;4;1;0;58;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;4;1;240;55;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;4;2;0;53;0,2490;239;6;1;0;1;0;0;0
4,7500;4560;4;2;240;58;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;5;1;0;58;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;5;1;240;58;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;5;2;0;58;0,2490;239;6;0;0;0;0;0;0
5,7500;5520;5;2;240;58;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;6;1;0;58;0,2490;239;6;1;1;1;1;1;0
6,5000;6240;6;2;0;58;0,2490;239;6;0;0;0;0;0;0
6,7500;6480;6;2;240;58;0,2490;239;6;0;0;1;0;0;0
7,0000;6720;7;1;0;63;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;7;1;120;60;0,3740;359;9;1;1;1;1;0;0
7,5000;7200;7;2;0;60;0,1240;119;3;0;0;0;0;0;0
7,6250;7320;7;2;120;58;0,3740;359;9;1;1;1;0;0;0
8,0000;7680;8;1;0;58;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;8;1;240;55;0,2490;239;6;0;0;0;0;1;0
8,5000;8160;8;2;0;53;0,2490;239;6;1;0;1;0;0;0
8,7500;8400;8;2;240;58;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;9;1;0;58;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;9;1;240;58;0,2490;239;6;0;0;0;0;0;0
9,5000;9120;9;2;0;58;0,2490;239;6;0;0;0;0;0;0
9,7500;9360;9;2;240;58;0,2490;239;6;1;0;1;0;0;0
10,0000;9600;10;1;0;62;0,1240;119;3;0;0;0;0;0;0
10,1250;9720;10;1;120;60;0,1240;119;3;1;1;1;1;1;0
10,5000;10080;10;2;0;58;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;10;2;240;58;0,2490;239;6;0;0;1;0;0;0
11,0000;10560;11;1;0;65;0,4990;479;12;0;0;0;0;0;0
11,5000;11040;11;2;0;65;0,1656;159;4;1;1;0;0;0;0
11,6667;11200;11;2;160;63;0,1656;159;4;0;0;0;0;0;0
