Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,4990;479;4;1;0;1;0;0;0
0,5000;480;1;2;0;60;0,2490;239;2;0;0;0;0;0;0
0,7500;720;1;2;240;60;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;3;0;60;0,4990;479;4;0;0;0;0;0;0
1,5000;1440;2;1;0;60;0,9990;959;8;1;1;1;1;1;1
3,0000;2880;3;1;0;60;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;62;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;62;0,9990;959;8;0;0;0;0;0;1
4,5000;4320;4;1;0;62;0,9990;959;8;1;0;1;0;0;1
5,5000;5280;4;3;0;60;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;4;3;240;60;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;5;1;0;60;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;5;1;240;60;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;5;2;0;60;0,2490;239;2;0;0;1;0;0;0
6,7500;6480;5;2;240;62;0,4990;479;4;0;0;0;0;0;0
7,2500;6960;5;3;240;62;0,9990;959;8;1;1;1;1;1;1
8,7500;8400;6;3;240;64;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;7;1;0;64;0,2490;239;2;0;0;0;0;0;0
