Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;52;0,4990;479;2;0;0;1;1;0;0
0,5000;480;1;2;0;59;0,4990;479;2;1;1;0;0;0;0
1,0000;960;2;1;0;61;0,2490;239;1;0;0;0;0;0;0
1,2500;1200;2;1;240;59;0,2490;239;1;1;0;1;0;0;0
1,5000;1440;2;2;0;56;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;2;2;240;56;0,2490;239;1;0;1;0;0;0;0
2,0000;1920;3;1;0;59;0,4990;479;2;0;0;1;0;0;0
2,5000;2400;3;2;0;56;0,4990;479;2;0;0;0;0;0;0
3,0000;2880;4;1;0;56;0,9990;959;4;1;1;1;1;1;1
4,0000;3840;5;1;0;59;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;5;2;0;56;0,2490;239;1;0;0;0;0;0;0
4,7500;4560;5;2;240;54;0,2490;239;1;0;0;0;0;0;0
5,0000;4800;6;1;0;52;0,4990;479;2;1;0;1;0;0;0
5,5000;5280;6;2;0;49;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;7;1;0;52;0,4990;479;2;1;1;1;0;1;0
6,5000;6240;7;2;0;49;0,2490;239;1;0;0;0;0;0;0
6,7500;6480;7;2;240;47;0,2490;239;1;0;0;0;0;0;0
7,0000;6720;8;1;0;49;0,2490;239;1;0;0;0;0;0;0
7,2500;6960;8;1;240;47;0,2490;239;1;1;0;1;0;0;0
7,5000;7200;8;2;0;44;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;8;2;240;44;0,2490;239;1;0;0;0;0;0;0
8,0000;7680;9;1;0;44;0,2490;239;1;1;0;1;0;0;0
8,2500;7920;9;1;240;47;0,2490;239;1;0;0;0;0;0;0
8,5000;8160;9;2;0;47;0,2490;239;1;0;0;0;0;0;0
8,7500;8400;9;2;240;47;0,2490;239;1;1;1;1;1;1;0
9,2500;8880;10;1;240;49;0,2490;239;1;0;0;0;0;0;0
9,5000;9120;10;2;0;47;0,2490;239;1;1;0;1;0;0;0
9,7500;9360;10;2;240;52;0,2490;239;1;0;0;0;0;0;0
10,0000;9600;11;1;0;52;0,2490;239;1;1;0;1;0;0;0
10,2500;9840;11;1;240;49;0,2490;239;1;0;0;0;0;0;0
10,5000;10080;11;2;0;47;0,2490;239;1;0;0;0;0;0;0
10,7500;10320;11;2;240;44;0,4990;479;2;1;1;1;1;1;0
11,7500;11280;12;2;240;47;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;13;1;0;47;0,2490;239;1;0;0;0;0;0;0
12,2500;11760;13;1;240;47;0,4990;479;2;1;0;0;0;0;0
12,7500;12240;13;2;240;47;0,4990;479;2;0;0;1;0;0;0
13,2500;12720;14;1;240;59;0,4990;479;2;1;1;0;0;0;0
13,7500;13200;14;2;240;61;0,2490;239;1;0;0;0;0;0;0
14,0000;13440;15;1;0;59;0,2490;239;1;0;0;0;0;0;0
14,2500;13680;15;1;240;61;0,2490;239;1;0;0;0;0;0;0
14,5000;13920;15;2;0;59;0,2490;239;1;1;0;0;0;0;0
14,7500;14160;15;2;240;56;0,4990;479;2;0;0;0;0;0;0
15,2500;14640;16;1;240;59;0,4990;479;2;1;0;1;0;0;0
15,7500;15120;16;2;240;56;0,2490;239;1;0;0;0;0;0;0
16,0000;15360;17;1;0;56;0,2490;239;1;0;0;0;0;0;0
16,2500;15600;17;1;240;56;0,9990;959;4;1;1;1;1;1;1
17,2500;16560;18;1;240;59;0,4990;479;2;0;0;0;0;0;0
17,7500;17040;18;2;240;56;0,2490;239;1;0;0;0;0;0;0
18,0000;17280;19;1;0;54;0,2490;239;1;0;0;0;0;0;0
18,2500;17520;19;1;240;54;0,2490;239;1;0;0;1;0;0;0
18,5000;17760;19;2;0;52;0,2490;239;1;1;0;0;0;0;0
18,7500;18000;19;2;240;49;0,4990;479;2;0;0;0;0;0;0
19,2500;18480;20;1;240;52;0,4990;479;2;1;1;1;0;0;0
19,7500;18960;20;2;240;49;0,2490;239;1;0;0;0;0;0;0
20,0000;19200;21;1;0;47;0,2490;239;1;0;0;0;0;0;0
20,2500;19440;21;1;240;49;0,2490;239;1;0;0;0;0;0;0
20,5000;19680;21;2;0;47;0,2490;239;1;0;0;0;0;0;0
20,7500;19920;21;2;240;44;0,4990;479;2;0;0;1;0;0;0
21,2500;20400;22;1;240;47;0,4990;479;2;0;0;0;0;0;0
21,7500;20880;22;2;240;47;0,4990;479;2;1;1;1;0;1;0
22,7500;21840;23;2;240;49;0,4990;479;2;0;0;0;0;0;0
23,2500;22320;24;1;240;52;0,4990;479;2;1;0;0;0;0;0
23,7500;22800;24;2;240;49;0,2490;239;1;0;0;0;0;0;0
24,0000;23040;25;1;0;47;0,2490;239;1;0;0;0;0;0;0
24,2500;23280;25;1;240;44;0,4990;479;2;0;0;0;0;0;0
24,7500;23760;25;2;240;47;0,4990;479;2;0;0;0;0;0;0
25,7500;24720;26;2;240;47;0,4990;479;2;1;1;1;1;1;0
27,7500;26640;28;2;240;49;0,2490;239;1;0;0;0;0;0;0
28,0000;26880;29;1;0;47;0,2490;239;1;0;0;0;0;0;0
28,2500;27120;29;1;240;49;0,2490;239;1;0;0;0;0;0;0
28,5000;27360;29;2;0;47;0,2490;239;1;0;0;0;0;0;0
28,7500;27600;29;2;240;44;0,4990;479;2;0;1;1;0;0;0
29,2500;28080;30;1;240;47;0,4990;479;2;0;0;0;0;0;0
29,7500;28560;30;2;240;47;0,4990;479;2;1;1;1;1;1;1
