Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;51;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;51;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;51;0,4990;479;12;0;0;0;0;0;1
1,0000;960;1;3;0;51;0,4990;479;12;1;0;1;1;0;1
1,5000;1440;2;1;0;63;0,1240;119;3;0;0;0;0;0;0
1,6250;1560;2;1;120;63;0,1240;119;3;0;0;0;0;0;0
1,7500;1680;2;1;240;63;0,1240;119;3;0;0;1;0;0;0
1,8750;1800;2;1;360;58;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;2;0;63;0,4990;479;12;1;1;1;1;1;1
2,5000;2400;2;3;0;60;0,1240;119;3;0;0;0;0;0;0
2,6250;2520;2;3;120;58;0,3740;359;9;0;0;0;0;0;0
3,0000;2880;3;1;0;58;0,3740;359;9;1;0;1;0;0;0
3,3750;3240;3;1;360;65;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;3;2;0;65;0,3740;359;9;1;0;1;0;0;0
3,8750;3720;3;2;360;65;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;3;3;0;63;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;3;3;240;58;0,4990;479;12;1;1;1;1;1;1
4,7500;4560;4;1;240;55;0,1240;119;3;0;0;0;0;0;0
4,8750;4680;4;1;360;53;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;4;2;0;53;0,1240;119;3;0;0;1;0;0;0
5,1250;4920;4;2;120;58;0,1240;119;3;0;0;0;0;0;0
5,2500;5040;4;2;240;60;0,3740;359;9;1;0;1;1;0;0
5,6250;5400;4;3;120;60;0,1240;119;3;0;0;0;0;0;0
5,7500;5520;4;3;240;58;0,2490;239;6;1;0;1;0;0;0
6,0000;5760;5;1;0;55;0,1240;119;3;0;0;0;0;0;0
6,1250;5880;5;1;120;55;0,1240;119;3;0;0;0;0;0;0
6,2500;6000;5;1;240;53;0,1240;119;3;0;0;0;0;0;0
6,3750;6120;5;1;360;51;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;5;2;0;51;0,3740;359;9;1;1;1;1;1;0
6,8750;6600;5;2;360;53;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;5;3;0;55;0,3740;359;9;1;0;1;0;0;0
7,3750;7080;5;3;360;55;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;6;1;0;55;0,1656;159;4;0;0;0;0;0;0
7,6667;7360;6;1;160;55;0,1656;159;4;0;0;0;0;0;0
7,8333;7520;6;1;320;53;0,1656;159;4;0;0;0;0;0;0
8,0000;7680;6;2;0;51;0,4990;479;12;0;0;1;0;0;1
8,5000;8160;6;3;0;51;0,4990;479;12;0;0;0;0;0;1
9,0000;8640;7;1;0;51;0,2490;239;6;1;1;1;1;1;0
9,5000;9120;7;2;0;58;0,1240;119;3;0;0;0;0;0;0
9,6250;9240;7;2;120;58;0,1240;119;3;0;0;0;0;0;0
9,7500;9360;7;2;240;58;0,1240;119;3;0;0;0;0;0;0
9,8750;9480;7;2;360;55;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;7;3;0;58;0,4990;479;12;1;1;1;1;0;1
10,5000;10080;8;1;0;55;0,1240;119;3;0;0;0;0;0;0
10,6250;10200;8;1;120;53;0,3740;359;9;0;0;0;0;1;0
11,0000;10560;8;2;0;53;0,3740;359;9;1;0;1;0;0;0
11,3750;10920;8;2;360;58;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;8;3;0;60;0,3740;359;9;1;1;1;1;0;0
11,8750;11400;8;3;360;60;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;9;1;0;58;0,2490;239;6;0;0;1;0;0;0
12,2500;11760;9;1;240;55;0,1656;159;4;0;1;0;0;0;0
12,4167;11920;9;1;400;55;0,1656;159;4;0;0;0;0;0;0
12,5833;12080;9;2;80;53;0,1656;159;4;0;0;0;0;0;0
12,7500;12240;9;2;240;51;0,2490;239;6;1;0;1;1;1;0
13,1250;12600;9;3;120;53;0,1240;119;3;0;0;0;0;0;0
13,2500;12720;9;3;240;55;0,3740;359;9;1;1;1;0;0;0
13,6250;13080;10;1;120;55;0,1240;119;3;0;0;0;0;0;0
13,7500;13200;10;1;240;55;0,1656;159;4;1;1;0;0;0;0
13,9167;13360;10;1;400;55;0,1656;159;4;0;0;0;0;0;0
14,0833;13520;10;2;80;53;0,1656;159;4;1;0;0;0;0;0
14,2500;13680;10;2;240;51;0,4990;479;12;0;0;1;0;0;1
14,7500;14160;10;3;240;51;0,4990;479;12;0;0;0;0;1;1
15,2500;14640;11;1;240;51;0,4990;479;12;1;0;1;1;0;1
15,7500;15120;11;2;240;63;0,1240;119;3;0;0;0;0;0;0
15,8750;15240;11;2;360;63;0,1240;119;3;0;0;0;0;0;0
16,0000;15360;11;3;0;63;0,1240;119;3;0;0;1;0;0;0
16,1250;15480;11;3;120;58;0,1240;119;3;0;0;0;0;0;0
16,2500;15600;11;3;240;63;0,4990;479;12;1;1;1;1;1;1
16,7500;16080;12;1;240;60;0,1240;119;3;0;0;0;0;0;0
16,8750;16200;12;1;360;58;0,3740;359;9;0;0;0;0;0;0
17,2500;16560;12;2;240;58;0,3740;359;9;1;0;1;0;0;0
17,6250;16920;12;3;120;65;0,1240;119;3;0;0;0;0;0;0
