Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;61;0,1240;119;1;0;0;0;0;0;0
0,1250;120;1;1;120;61;0,9990;959;8;1;1;1;1;0;1
1,1250;1080;2;1;120;59;0,1240;119;1;0;0;0;0;0;0
1,2500;1200;2;1;240;59;0,2490;239;2;1;0;1;0;0;0
1,5000;1440;2;2;0;57;0,1240;119;1;0;0;0;0;0;0
1,6250;1560;2;2;120;57;0,3740;359;3;1;0;1;1;0;0
2,0000;1920;3;1;0;54;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;3;1;120;57;0,3740;359;3;1;0;1;0;0;0
2,5000;2400;3;2;0;59;0,1240;119;1;0;0;0;0;0;0
2,6250;2520;3;2;120;59;0,9990;959;8;1;1;1;1;1;1
3,6250;3480;4;2;120;57;0,1240;119;1;0;0;0;0;0;0
3,7500;3600;4;2;240;57;0,2490;239;2;1;0;1;0;0;0
4,0000;3840;5;1;0;54;0,1240;119;1;0;0;0;0;0;0
4,1250;3960;5;1;120;54;0,3740;359;3;1;1;1;0;0;0
4,5000;4320;5;2;0;52;0,1240;119;1;0;0;0;0;0;0
4,6250;4440;5;2;120;54;0,4990;479;4;1;0;1;0;0;1
5,1250;4920;6;1;120;54;0,2490;239;2;0;0;0;0;0;0
5,3750;5160;6;1;360;54;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;54;0,1240;119;1;0;0;0;0;0;0
5,6250;5400;6;2;120;54;0,4990;479;4;1;0;1;0;1;1
6,1250;5880;7;1;120;54;0,1240;119;1;0;0;0;0;0;0
6,2500;6000;7;1;240;54;0,2490;239;2;1;0;1;0;0;0
6,5000;6240;7;2;0;52;0,1240;119;1;0;0;0;0;0;0
6,6250;6360;7;2;120;52;0,3740;359;3;1;1;0;0;0;0
7,0000;6720;8;1;0;49;0,1240;119;1;0;0;1;0;0;0
7,1250;6840;8;1;120;54;0,3740;359;3;1;0;0;0;0;0
7,5000;7200;8;2;0;54;0,1240;119;1;0;0;0;0;0;0
7,6250;7320;8;2;120;54;0,4990;479;4;1;1;1;1;1;1
8,6250;8280;9;2;120;52;0,4990;479;4;0;0;0;0;0;1
9,1250;8760;10;1;120;49;0,4990;479;4;1;0;1;0;0;1
9,6250;9240;10;2;120;54;0,1240;119;1;0;0;0;0;0;0
9,7500;9360;10;2;240;54;0,2490;239;2;0;0;1;0;0;0
10,0000;9600;11;1;0;54;0,1240;119;1;0;0;0;0;0;0
