Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;58;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;58;0,6656;639;16;1;1;1;1;0;1
1,1667;1120;2;1;160;56;0,1656;159;4;0;0;0;0;0;0
1,3333;1280;2;1;320;56;0,1656;159;4;1;0;1;0;0;0
1,5000;1440;2;2;0;60;0,1240;119;3;0;0;0;0;0;0
1,6250;1560;2;2;120;58;0,3740;359;9;0;0;0;0;1;0
2,0000;1920;3;1;0;56;0,3740;359;9;1;0;1;0;0;0
2,3750;2280;3;1;360;53;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;53;0,4990;479;12;0;0;0;0;0;1
3,0000;2880;4;1;0;53;0,1656;159;4;1;0;1;0;0;0
3,1667;3040;4;1;160;56;0,1656;159;4;0;0;0;0;0;0
3,3333;3200;4;1;320;53;0,1656;159;4;0;0;0;0;0;0
3,5000;3360;4;2;0;51;0,3740;359;9;1;1;1;0;0;0
3,8750;3720;4;2;360;48;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;51;1,4990;1439;36;1;1;1;1;1;1
5,5000;5280;6;2;0;58;0,3740;359;9;0;0;0;0;0;0
5,8750;5640;6;2;360;58;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;58;0,4990;479;12;1;0;1;0;0;1
6,5000;6240;7;2;0;58;0,1656;159;4;0;0;0;0;0;0
6,6667;6400;7;2;160;56;0,1656;159;4;0;0;0;0;0;0
6,8333;6560;7;2;320;58;0,1656;159;4;0;0;0;0;0;0
7,0000;6720;8;1;0;60;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;8;1;120;58;0,3740;359;9;0;0;0;0;0;0
7,5000;7200;8;2;0;56;0,3740;359;9;1;0;1;0;0;0
7,8750;7560;8;2;360;53;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,4990;479;12;1;1;1;1;1;1
8,7500;8400;9;2;240;53;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;10;1;0;56;0,1240;119;3;0;0;0;0;0;0
9,1250;8760;10;1;120;53;0,3740;359;9;0;0;1;0;0;0
9,5000;9120;10;2;0;51;0,3740;359;9;0;0;0;0;0;0
9,8750;9480;10;2;360;48;0,1240;119;3;0;0;1;0;0;0
10,0000;9600;11;1;0;51;0,4990;479;12;1;0;0;0;0;1
10,5000;10080;11;2;0;51;0,3740;359;9;0;0;0;0;0;0
10,8750;10440;11;2;360;51;0,1240;119;3;1;1;1;1;0;0
11,0000;10560;12;1;0;48;0,4990;479;12;0;0;0;0;1;1
11,5000;11040;12;2;0;46;0,3740;359;9;0;0;1;0;0;0
11,8750;11400;12;2;360;44;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;13;1;0;44;0,4990;479;12;1;1;1;1;0;1
12,5000;12000;13;2;0;48;0,3740;359;9;0;0;0;0;0;0
12,8750;12360;13;2;360;48;0,1240;119;3;0;0;1;0;0;0
13,0000;12480;14;1;0;46;0,4990;479;12;0;0;0;0;0;0
13,5000;12960;14;2;0;44;0,9990;959;24;1;1;1;1;1;1
