Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;2;1;360;61;0,1240;119;3;1;0;0;0;0;0
1,5000;1440;2;2;0;59;0,4990;479;12;0;0;1;0;0;0
2,0000;1920;3;1;0;59;0,4990;479;12;0;0;0;0;0;0
2,5000;2400;3;2;0;59;0,1656;159;4;1;1;0;0;0;0
2,6667;2560;3;2;160;61;0,1656;159;4;0;0;0;0;0;0
2,8333;2720;3;2;320;61;0,1656;159;4;0;0;0;0;0;0
3,0000;2880;4;1;0;59;0,4990;479;12;1;0;1;0;1;0
3,5000;3360;4;2;0;59;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;4;2;240;59;0,1240;119;3;0;0;0;0;0;0
3,8750;3720;4;2;360;59;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;59;0,4990;479;12;1;0;1;0;0;0
4,5000;4320;5;2;0;59;0,1656;159;4;0;0;0;0;0;0
4,6667;4480;5;2;160;57;0,1656;159;4;0;0;0;0;0;0
4,8333;4640;5;2;320;56;0,1656;159;4;0;0;0;0;0;0
5,0000;4800;6;1;0;54;0,4990;479;12;0;0;0;0;1;0
5,5000;5280;6;2;0;54;0,2490;239;6;1;1;1;1;0;0
5,8750;5640;6;2;360;57;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;57;0,4990;479;12;0;0;1;0;0;0
6,5000;6240;7;2;0;57;0,4990;479;12;0;0;0;0;0;0
7,0000;6720;8;1;0;57;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;8;1;160;59;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;8;1;320;59;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;8;2;0;57;0,4990;479;12;0;0;0;0;1;0
8,0000;7680;9;1;0;57;0,1240;119;3;1;1;1;1;0;0
8,2500;7920;9;1;240;59;0,1240;119;3;0;0;0;0;0;0
8,3750;8040;9;1;360;59;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;9;2;0;59;0,4990;479;12;0;0;1;0;0;0
9,0000;8640;10;1;0;59;0,1656;159;4;1;1;0;0;0;0
9,1667;8800;10;1;160;57;0,1656;159;4;0;0;0;0;0;0
9,3333;8960;10;1;320;56;0,1656;159;4;0;0;0;0;0;0
9,5000;9120;10;2;0;54;0,4990;479;12;0;0;0;0;1;0
10,0000;9600;11;1;0;54;0,3740;359;9;1;0;1;0;0;0
10,3750;9960;11;1;360;52;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;11;2;0;52;0,4990;479;12;0;0;1;0;0;0
11,0000;10560;12;1;0;52;0,4990;479;12;0;0;0;0;0;0
11,5000;11040;12;2;0;52;0,1240;119;3;1;1;1;1;0;0
11,7500;11280;12;2;240;54;0,1240;119;3;0;0;0;0;0;0
11,8750;11400;12;2;360;54;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;13;1;0;52;0,4990;479;12;1;0;1;0;1;0
12,5000;12000;13;2;0;52;0,2490;239;6;0;0;0;0;0;0
12,7500;12240;13;2;240;52;0,0823;79;2;0;0;0;0;0;0
12,8333;12320;13;2;320;54;0,0823;79;2;0;0;0;0;0;0
12,9167;12400;13;2;400;54;0,0823;79;2;0;0;0;0;0;0
13,0000;12480;14;1;0;52;0,4990;479;12;0;0;1;0;0;0
13,5000;12960;14;2;0;52;0,1656;159;4;1;0;0;0;0;0
13,6667;13120;14;2;160;51;0,1656;159;4;0;0;0;0;0;0
13,8333;13280;14;2;320;49;0,1656;159;4;0;0;0;0;0;0
14,0000;13440;15;1;0;47;0,4990;479;12;0;0;0;0;1;0
14,5000;13920;15;2;0;47;0,2490;239;6;1;1;1;1;0;0
14,8750;14280;15;2;360;54;0,1240;119;3;0;0;0;0;0;0
15,0000;14400;16;1;0;52;0,4990;479;12;0;0;1;0;0;0
15,5000;14880;16;2;0;52;0,4990;479;12;0;0;0;0;0;0
16,0000;15360;17;1;0;52;0,0823;79;2;1;1;1;0;0;0
16,1667;15520;17;1;160;54;0,1656;159;4;0;0;0;0;0;0
16,3333;15680;17;1;320;54;0,1656;159;4;1;0;0;0;0;0
16,5000;15840;17;2;0;52;0,4990;479;12;0;0;0;0;0;0
17,0000;16320;18;1;0;52;0,4990;479;12;0;0;0;0;1;0
17,5000;16800;18;2;0;52;0,0823;79;2;1;0;1;0;0;0
17,6667;16960;18;2;160;56;0,1656;159;4;0;0;0;0;0;0
17,8333;17120;18;2;320;54;0,1656;159;4;0;0;0;0;0;0
18,0000;17280;19;1;0;52;0,4990;479;12;1;1;1;0;0;0
