Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,4990;479;8;0;0;0;0;0;0
0,5000;480;1;2;0;57;0,4990;479;8;0;0;0;0;0;1
1,0000;960;1;3;0;57;0,4990;479;8;0;0;0;0;0;1
1,5000;1440;2;1;0;57;0,3740;359;6;1;0;1;1;0;0
1,8750;1800;2;1;360;52;0,1240;119;2;0;0;0;0;0;0
2,0000;1920;2;2;0;54;0,3740;359;6;1;1;1;0;0;0
2,3750;2280;2;2;360;52;0,1240;119;2;0;0;0;0;0;0
2,5000;2400;2;3;0;52;0,8740;839;14;1;1;1;1;1;1
3,3750;3240;3;1;360;48;0,1240;119;2;0;0;0;0;0;0
3,5000;3360;3;2;0;52;0,3740;359;6;1;1;1;0;0;0
3,8750;3720;3;2;360;48;0,1240;119;2;0;0;0;0;0;0
4,0000;3840;3;3;0;48;0,8740;839;14;1;1;1;1;0;1
4,8750;4680;4;1;360;45;0,1240;119;2;0;0;0;0;0;0
5,0000;4800;4;2;0;48;0,3740;359;6;1;1;1;0;0;0
5,3750;5160;4;2;360;45;0,1240;119;2;0;0;0;0;0;0
5,5000;5280;4;3;0;45;0,2490;239;4;1;1;1;1;1;0
6,0000;5760;5;1;0;48;0,2490;239;4;0;0;0;0;0;0
6,2500;6000;5;1;240;45;0,1240;119;2;0;0;0;0;0;0
6,3750;6120;5;1;360;45;0,1240;119;2;0;0;0;0;0;0
6,5000;6240;5;2;0;48;0,2490;239;4;1;0;1;0;0;0
6,7500;6480;5;2;240;45;0,1240;119;2;0;0;0;0;0;0
6,8750;6600;5;2;360;45;0,1240;119;2;1;0;1;1;0;0
7,0000;6720;5;3;0;48;0,1240;119;2;0;0;0;0;0;0
7,1250;6840;5;3;120;48;0,1240;119;2;1;0;1;1;0;0
7,2500;6960;5;3;240;45;0,1240;119;2;0;0;0;0;0;0
7,3750;7080;5;3;360;45;0,1240;119;2;0;0;0;0;0;0
7,5000;7200;6;1;0;40;0,2490;239;4;1;0;1;0;0;0
7,7500;7440;6;1;240;45;0,1240;119;2;0;0;0;0;0;0
7,8750;7560;6;1;360;45;0,1240;119;2;0;0;0;0;0;0
8,0000;7680;6;2;0;45;0,2490;239;4;1;1;1;1;1;0
8,5000;8160;6;3;0;52;0,1240;119;2;0;0;0;0;0;0
8,6250;8280;6;3;120;48;0,3740;359;6;1;0;0;0;0;0
9,0000;8640;7;1;0;48;0,2490;239;4;0;0;1;0;0;0
9,2500;8880;7;1;240;52;0,3740;359;6;1;0;0;0;0;0
9,6250;9240;7;2;120;52;0,1240;119;2;0;0;0;0;0;0
9,7500;9360;7;2;240;52;0,2490;239;4;1;0;0;0;0;0
10,0000;9600;7;3;0;52;0,1240;119;2;0;0;0;0;0;0
10,1250;9720;7;3;120;48;0,1240;119;2;0;0;1;0;0;0
10,2500;9840;7;3;240;52;0,4990;479;8;1;1;0;0;1;1
10,7500;10320;8;1;240;52;0,1240;119;2;0;0;1;0;0;0
10,8750;10440;8;1;360;48;0,2490;239;4;0;0;0;0;0;0
11,1250;10680;8;2;120;45;0,1240;119;2;0;0;0;0;0;0
11,2500;10800;8;2;240;45;0,1240;119;2;0;0;0;0;0;0
11,3750;10920;8;2;360;40;0,1240;119;2;1;1;1;1;1;0
11,7500;11280;8;3;240;52;0,1240;119;2;0;0;0;0;0;0
11,8750;11400;8;3;360;48;0,2490;239;4;1;0;1;0;0;0
12,1250;11640;9;1;120;45;0,1240;119;2;0;0;0;0;0;0
12,2500;11760;9;1;240;45;0,1240;119;2;0;0;0;0;0;0
12,3750;11880;9;1;360;45;0,1240;119;2;0;0;0;0;0;0
12,5000;12000;9;2;0;45;0,2490;239;4;0;0;0;0;0;0
12,7500;12240;9;2;240;45;0,2490;239;4;1;1;0;0;0;0
13,1250;12600;9;3;120;48;0,1240;119;2;0;0;1;1;0;0
13,2500;12720;9;3;240;52;0,4990;479;8;1;0;0;0;1;1
13,7500;13200;10;1;240;52;0,1240;119;2;0;0;1;0;0;0
13,8750;13320;10;1;360;48;0,2490;239;4;0;0;0;0;0;0
14,1250;13560;10;2;120;45;0,1240;119;2;0;0;1;0;1;0
14,2500;13680;10;2;240;48;0,1240;119;2;0;0;0;0;0;0
14,3750;13800;10;2;360;48;0,1240;119;2;1;0;0;0;0;0
14,5000;13920;10;3;0;45;0,2490;239;4;0;0;1;0;0;0
14,7500;14160;10;3;240;48;0,2490;239;4;0;0;0;0;0;0
15,0000;14400;11;1;0;48;0,2490;239;4;0;0;0;0;0;0
15,2500;14640;11;1;240;48;0,3740;359;6;1;1;1;0;0;0
15,6250;15000;11;2;120;45;0,1240;119;2;0;0;0;0;0;0
15,7500;15120;11;2;240;48;0,2490;239;4;1;0;0;0;0;0
16,0000;15360;11;3;0;48;0,1240;119;2;0;0;1;1;0;0
16,1250;15480;11;3;120;45;0,1240;119;2;0;0;0;0;0;0
16,2500;15600;11;3;240;45;0,2490;239;4;0;0;0;0;0;0
16,5000;15840;12;1;0;45;0,2490;239;4;0;0;0;0;0;0
16,7500;16080;12;1;240;48;0,3740;359;6;1;1;1;0;0;0
17,1250;16440;12;2;120;52;0,1240;119;2;0;0;0;0;0;0
17,2500;16560;12;2;240;52;0,1240;119;2;0;0;1;1;0;0
